"Saison","KonstrukteursWM","Gesamtzahl der Team Punkte"
"2002","Ferrari","221"
"2004","Ferrari","262"
"2006","Renault","206"
"2007","Ferrari","204"
"2010","Red Bull","498"
"2011","Red Bull","650"
"2012","Red Bull","460"
"2013","Red Bull","596"
"2014","Mercedes","701"
"2015","Mercedes","703"
"2016","Mercedes","765"
"2017","Mercedes","668"
"2018","Mercedes","655"
"2019","Mercedes","739"
